,noise,cutoff,true_model,algo,best_model_AIC,best_model_AICc,best_model_BIC,mean_err_AIC,mean_err_AICc,mean_err_BIC
0,20,90,rw2_val,Nelder-Mead,rw2_val,rw2_val,rw2_val,2.4054591406907284,2.4054591406907284,2.4054591406907284
0,20,90,ph_basic,Nelder-Mead,ph_basic,ph_basic,ph_basic,0.6589029876407793,0.6589029876407793,0.6589029876407793
0,20,90,rw1,Nelder-Mead,rw1,rw1,rw1,1.5002782560244112,1.5002782560244112,1.5002782560244112
0,20,90,rw1_att,Nelder-Mead,rw1_att,rw1_att,rw1_att,2.7625733686693583,2.7625733686693583,2.7625733686693583
0,20,90,rw2_val,Nelder-Mead,rw2_val,rw2_val,rw1,0.19584294601782443,0.19584294601782443,5.4660920974948715
0,20,90,ph_basic,Nelder-Mead,ph_basic,ph_basic,ph_basic,0.5423762809000438,0.5423762809000438,0.5423762809000438
0,20,120,rw1,Nelder-Mead,rw1,rw1,rw1,0.005342745680243747,0.005342745680243747,0.005342745680243747
0,20,120,rw1_att,Nelder-Mead,rw1_att,rw1_att,rw1_att,0.07239894278713874,0.07239894278713874,0.07239894278713874
0,20,120,rw2_val,Nelder-Mead,rw1,rw1,rw1,2.2160645455422197,2.2160645455422197,2.2160645455422197
0,20,120,ph_basic,Nelder-Mead,ph_basic,ph_basic,ph_basic,3.1665188296988926,3.1665188296988926,3.1665188296988926
0,20,120,rw1,Nelder-Mead,rw1,rw1,rw1,0.7463083192666405,0.7463083192666405,0.7463083192666405
0,20,120,rw1_att,Nelder-Mead,rw1,rw1,rw1,3.6756990303200245,3.6756990303200245,3.6756990303200245
0,20,120,rw2_val,Nelder-Mead,rw2_val,rw2_val,rw2_val,1.7831087437430384,1.7831087437430384,1.7831087437430384
0,20,120,ph_basic,Nelder-Mead,rw1,rw1,rw1,7.474219238406476,7.474219238406476,7.474219238406476
0,20,150,rw1,Nelder-Mead,rw1,rw1,rw1,3.009985767387963,3.009985767387963,3.009985767387963
0,20,150,rw1_att,Nelder-Mead,rw1_att,rw1_att,rw1_att,0.27623236306979493,0.27623236306979493,0.27623236306979493
0,20,150,rw2_val,Nelder-Mead,rw2_val,rw2_val,rw2_val,1.8788988222931486,1.8788988222931486,1.8788988222931486
0,20,150,ph_basic,Nelder-Mead,ph_basic,ph_basic,ph_basic,0.8974949555975422,0.8974949555975422,0.8974949555975422
0,20,150,rw1,Nelder-Mead,rw1,rw1,rw1,1.2833535978228972,1.2833535978228972,1.2833535978228972
0,20,150,rw1_att,Nelder-Mead,rw1_att,rw1_att,rw1_att,16.977986286034895,16.977986286034895,16.977986286034895
0,20,150,rw2_val,Nelder-Mead,rw2_val,rw2_val,rw2_val,2.5210157466048,2.5210157466048,2.5210157466048
0,20,150,ph_basic,Nelder-Mead,ph_basic,ph_basic,ph_basic,4.422971384293849,4.422971384293849,4.422971384293849
